replica_id,pdf_replica_id,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10
0,1,0,5000,1.9220698,0.50745872,1.123,0.96431553,2.7158398,0.047794081,0,0,-9.9996495,0.43220892,0,0
1,2,0,5000,1.6465474,0.50176996,1.123,0.90822755,3.4377359,-0.088646644,0,0,-1.1672455,-0.18994882,0,0
2,3,0,5000,1.7271079,0.51818981,1.123,0.93108,2.7345371,-0.010357979,0,0,-4.514903,-0.0044446193,0,0
3,4,0,5000,1.9969217,0.51829863,1.123,0.91039029,2.579875,-0.074105109,0,0,-4.3353687,-0.086405817,0,0
4,5,0,5000,1.7060081,0.52673956,1.123,0.92196935,1.7306343,-0.022834883,0,0,-3.7400396,0.53598344,0,0
5,6,0,5000,1.7720586,0.52063582,1.123,0.89134047,2.3513748,-0.06900611,0,0,-3.3622713,0.35391447,0,0
6,7,0,5000,1.5127681,0.50801935,1.123,0.89443808,1.9129825,0.086578418,0,0,-0.68045921,0.36565771,0,0
7,8,0,5000,1.7075172,0.50823525,1.123,0.92076912,2.0924537,-0.029233442,0,0,-2.0848017,0.28859578,0,0
8,9,0,5000,1.599045,0.50902563,1.123,0.87821677,2.3464244,0.19528274,0,0,-0.89480572,0.019684632,0,0
9,10,0,5000,1.599488,0.51936276,1.123,0.90091132,2.8633551,-0.039713643,0,0,-3.3313085,0.14675805,0,0
10,11,0,5000,1.8640252,0.41367336,1.123,1.0760419,1.7419645,0.58996478,0,0,-1.7884676,0.35903841,0,0
11,12,0,5000,1.795778,0.50622673,1.123,0.93782533,2.1529066,0.11155863,0,0,-3.5991136,0.43437076,0,0
12,13,0,5000,1.7656873,0.50188335,1.123,0.89998072,3.001088,0.017829178,0,0,-2.8336197,0.27551306,0,0
13,14,0,5000,1.8797248,0.49363561,1.123,0.94316957,2.7893663,0.041838892,0,0,-2.8758923,0.45124117,0,0
14,15,0,5000,1.7535147,0.5043445,1.123,0.92949126,3.0426765,0.10966579,0,0,-6.0376678,0.2281879,0,0
15,16,0,5000,1.7158613,0.51196298,1.123,0.93265449,2.1960302,-0.014656125,0,0,-4.306844,0.53209079,0,0
16,17,0,5000,1.7431706,0.51389418,1.123,0.93169696,2.2401336,0.11146608,0,0,-4.8454803,0.11859196,0,0
17,18,0,5000,1.6248692,0.51284133,1.123,0.90647471,3.0100834,0.024518093,0,0,-2.4093608,-0.03474529,0,0
18,19,0,5000,1.7190225,0.51238467,1.123,0.96200932,2.4158802,0.04134439,0,0,-6.6417933,0.60105264,0,0
19,20,0,5000,1.6781209,0.51965605,1.123,0.9104836,-1.2348292,-9.9997297,0,0,0.97459402,-7.3790972,0,0
