replica_id,pdf_replica_id,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
0,1,1,1590,1.7606213,-0.00080757414,1.0674432,-2.1582233,-5.0900471,1.059374,-0.5502373,1.4353221,0.065956697,0.03334941
1,2,0,1568,1.8229355,0.014952598,0.78878707,-1.9020078,-5.2234881,0.63993129,-0.83047321,1.5896148,0.074647527,0.020001415
2,3,1,1474,1.8712182,0.041029598,0.96054249,-1.9563586,-5.0052278,0.77184913,-0.25598498,1.5353134,0.072112223,0.025214981
3,4,0,1620,2.0399872,-0.057761675,0.89453871,-1.988473,-5.3358623,1.384307,-0.56111698,1.2136809,0.070744511,0.044345898
4,5,0,1620,1.9608472,-0.024462366,1.0529123,-2.2947092,-5.1943449,1.3038102,-0.63144621,1.3293984,0.068660277,0.037772376
5,6,0,1579,1.8788298,0.026590879,0.97197422,-1.7660497,-4.4996377,1.1852978,-0.17734421,1.380763,0.066911746,0.028752615
6,7,1,1582,1.9154556,0.12230626,1.1856843,-2.4349971,-5.0407292,0.67520137,-0.91517184,1.4287747,0.079044862,0.021383599
7,8,1,1573,1.7524978,-0.025457178,0.6948034,-1.437154,-5.1348337,0.68912145,-0.44515016,1.4356744,0.073253961,0.030030126
8,9,1,1617,1.9284479,-0.013198177,0.9786113,-2.4512646,-5.3428986,0.88824753,-0.90579871,1.4822151,0.072753492,0.023343765
9,10,0,1595,1.8842187,0.036596811,0.98316296,-2.3724737,-5.3853549,0.85073343,-0.5730058,1.5202316,0.07495471,0.022951949
10,11,0,1618,2.0732703,0.082600972,1.0722906,-2.1175034,-5.0528674,0.69479915,-0.20220933,1.8660913,0.058772223,0.0045641439
11,12,1,1539,1.8066766,0.089732274,1.2542948,-2.8527989,-5.2738598,0.6987263,-1.1058587,1.4995141,0.07410897,0.022525776
12,13,0,1539,1.9927943,0.092640893,1.129643,-2.5929946,-5.0299537,0.60021917,-0.66880962,1.5246884,0.074554966,0.02014816
13,14,1,1566,1.686986,0.081227193,1.2051209,-2.4655322,-5.281053,0.79228157,-0.49709165,1.4886758,0.072489032,0.032093726
14,15,1,1615,1.6990557,0.00091450791,0.85322934,-1.6877654,-4.9124528,0.8488165,-0.32151146,1.4750332,0.069286027,0.026377379
15,16,0,1597,1.8117272,-0.019846527,0.66741819,-1.4865615,-4.7953701,0.98900776,-0.31760748,1.5284712,0.075180387,0.027270837
16,17,1,1592,1.91446,0.040614064,1.1029385,-2.720691,-5.0257646,0.77765852,-0.32025622,1.8632836,0.062297589,0.021385244
17,18,0,1620,1.7776952,0.026402715,0.99679843,-2.1325473,-5.0247172,0.92062665,-0.3688817,1.8798897,0.06093521,0.013102472
18,19,0,1612,1.9066096,0.056025062,1.2483713,-2.9157306,-5.3494103,1.1252234,-0.56701848,1.4761512,0.073399405,0.030287004
19,20,1,1608,2.0664103,0.033843075,1.0428915,-2.2888507,-5.1984237,0.93523656,-0.35734925,1.4485582,0.067749673,0.025648517
20,21,1,1548,1.7575523,0.043958238,1.1251308,-2.4469998,-5.368299,0.6,-1.2998277,1.4477724,0.072484893,0.029380742
21,22,0,1582,1.6662458,0.052081972,0.95595898,-1.7371314,-4.5860019,0.6,-0.18227823,1.60862,0.069183916,0.020126083
22,23,1,1541,2.0744028,0.044612954,0.94540091,-1.9799139,-5.2901612,0.6000409,-1.1525642,1.3038265,0.079315198,0.03929621
23,24,1,1502,1.5823147,0.0274342,1.0285113,-2.0166188,-5.115784,0.90049916,-0.36689601,1.4154169,0.068464478,0.031867383
24,25,1,1576,1.7372155,0.082334131,1.2121941,-2.4232244,-4.8416125,0.71391581,-0.26840947,1.5044158,0.066551471,0.026764027
25,26,1,1597,1.8128415,0.0053642373,1.0588381,-2.5999626,-5.4679797,1.1016577,-0.78148739,1.4463685,0.07445915,0.032028757
