0,1,2,3,4
2.6082842536223647e-06,3.0462081758058975e-06,1.7596846746315723e-06,1.0872376193353284e-06,6.344662043397464e-07
3.0462081758058975e-06,3.6236061989606787e-06,2.1365013173161896e-06,1.3319226349015813e-06,7.879922199753523e-07
1.7596846746315723e-06,2.1365013173161896e-06,1.2898826340055653e-06,8.137337993670711e-07,4.893593546975567e-07
1.0872376193353284e-06,1.3319226349015813e-06,8.137337993670711e-07,5.17549268114627e-07,3.1402188254275637e-07
6.344662043397464e-07,7.879922199753523e-07,4.893593546975567e-07,3.1402188254275637e-07,1.9299213725720328e-07
