candidate,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,compute_s
powerseed,0.8262324197402973,0.8873009892350718,0.7438823790579502,0.05143438742616864,0.01044630898550388,0.10190219748922232,-0.017031849234213414,0.0393326
alexey_bias_art23cslog,0.8278747940557609,0.9052904115218959,0.7234810068665781,0.053667243288618126,0.013720947966065645,0.09915486846716397,-0.022394333383964585,0.0386282
