,lambda1,lambda2,lambda3,lambda4,alpha,BNP,c0,c1
lambda1,420415.3869870202,86850.10106953871,166395.8119935162,-156424.56996569104,33738.322677214994,57793.00713126547,217410.28325861285,-94453.63627138664
lambda2,86850.10106953871,11293.558098053903,53331.113693981075,-21052.757816865436,14992.106178896693,22533.986533166568,25759.701467830775,-5306.4676516402105
lambda3,166395.8119935162,53331.113693981075,93189.59465237944,-37149.75894715724,20587.17349250638,37427.80502757405,64677.362647283546,-26573.1478097467
lambda4,-156424.56996569104,-21052.757816865436,-37149.75894715724,71399.92953508835,-1112.0521367542424,-17927.725381752945,-78017.0138427949,38590.619933282374
alpha,33738.322677214994,14992.106178896693,20587.17349250638,-1112.0521367542424,3509.859440290117,7886.482468869553,19490.478945609684,-13212.47934804993
BNP,57793.00713126547,22533.986533166568,37427.80502757405,-17927.725381752945,7886.482468869553,42297.36400154543,25521.87665828457,7925.86666355795
c0,217410.28325861285,25759.701467830775,64677.362647283546,-78017.0138427949,19490.478945609684,25521.87665828457,151156.02055827528,-65077.99970467361
c1,-94453.63627138664,-5306.4676516402105,-26573.1478097467,38590.619933282374,-13212.47934804993,7925.86666355795,-65077.99970467361,66044.52451358564
