param_i,param_j,corr,abs_corr
lambda4,BNP,0.9653026473196192,0.9653026473196192
lambda1,c0,-0.9507892498701134,0.9507892498701134
lambda1,BNP,0.9101891307185354,0.9101891307185354
lambda1,lambda4,0.8981310770462377,0.8981310770462377
alpha,c1,0.8501816656129342,0.8501816656129342
BNP,c0,-0.7751315631568709,0.7751315631568709
lambda4,c0,-0.7195835230947295,0.7195835230947295
lambda1,lambda3,-0.6778034655404596,0.6778034655404596
lambda4,c1,-0.6262923223424599,0.6262923223424599
lambda3,lambda4,-0.6166361660162986,0.6166361660162986
lambda3,c0,0.6011501588490817,0.6011501588490817
BNP,c1,-0.5037383704709646,0.5037383704709646
lambda2,c0,0.45741635808243863,0.45741635808243863
lambda3,BNP,-0.4451286447715111,0.4451286447715111
