model,param,value,sigma_norm,sigma_phys,reference,z_vs_reference,signal_to_sigma,frac_uncertainty
poly_bstar_cslog_42best,lambda1,2.16902894632,912.1965149720785,7279.328189477186,0.0,0.00029797103384560867,0.00029797103384560867,3356.0309104345424
poly_bstar_cslog_42best,lambda2,0.924506216887,1550.0711661864284,12369.5679061677,0.0,7.474038090093864e-05,7.474038090093864e-05,13379.648162690073
poly_bstar_cslog_42best,lambda3,-5.69874729363,1122.3402242740456,22446.804485480912,0.0,-0.0002538778870424998,0.0002538778870424998,3938.901539040293
poly_bstar_cslog_42best,lambda4,0.374950439682,1026.4127176401219,1026.4127176401219,0.0,0.00036530182570620106,0.00036530182570620106,2737.46236572128
poly_bstar_cslog_42best,alpha,0.982812131993,1567.1807476678914,3134.361495335783,1.0,-5.483690388800759e-06,5.483690388800759e-06,3189.1766425183964
poly_bstar_cslog_42best,BNP,1.42461732516,323.35139643358184,1325.7407253776855,,,,930.5942739597037
poly_bstar_cslog_42best,c0,0.0787304207149,514.9240561502726,128.73101403756814,0.0,0.00061158860049004,0.00061158860049004,1635.0860679854766
poly_bstar_cslog_42best,c1,0.0268863717671,326.2235172472954,81.55587931182384,0.0,0.0003296680998840271,0.0003296680998840271,3033.353849983626
