qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.333,0.058115,0.01665,0.15,16.6666666667
True,0.3,0.2,0.4,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.439,0.072264,0.02195,0.15,16.6666666667
True,0.5,0.4,0.6,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.368,0.059823,0.0184,0.15,16.6666666667
True,0.7,0.6,0.8,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.37,0.060062,0.0185,0.15,16.6666666667
True,0.9,0.8,1.0,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.259,0.042126,0.01295,0.15,16.6666666667
True,1.1,1.0,1.2,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.224,0.036626,0.0112,0.15,16.6666666667
True,1.3,1.2,1.4,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.18,0.029835,0.009,0.15,16.6666666667
True,1.5,1.4,1.6,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.131,0.022211,0.00655,0.15,16.6666666667
True,1.7,1.6,1.8,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0875,0.015407,0.004375,0.15,16.6666666667
True,1.9,1.8,2.0,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0713,0.013286,0.003565,0.15,16.6666666667
True,2.1,2.0,2.2,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0482,0.009907,0.00241,0.15,16.6666666667
True,2.3,2.2,2.4,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0272,0.006919,0.00136,0.15,16.6666666667
True,2.5,2.4,2.6,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0217,0.006188,0.001085,0.15,16.6666666667
True,2.7,2.6,2.8,True,8.5,8.0,9.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0184,0.006408,0.00092,0.15,16.6666666667
