0,1,2,3,4,5,6,7,8,9,10
3.074062500000001e-07,3.099375e-08,3.37125e-08,4.621875e-08,2.06625e-08,1.903125e-08,1.576875e-08,1.033125e-08,4.89375e-09,5.98125e-09,3.099375e-09
3.099375e-08,7.320625000000001e-08,2.20875e-08,3.028125e-08,1.35375e-08,1.2468749999999999e-08,1.033125e-08,6.76875e-09,3.20625e-09,3.91875e-09,2.030625e-09
3.37125e-08,2.20875e-08,6.402499999999999e-08,3.29375e-08,1.4725000000000001e-08,1.35625e-08,1.12375e-08,7.3625000000000006e-09,3.4875000000000002e-09,4.2625e-09,2.2087500000000003e-09
4.621875e-08,3.028125e-08,3.29375e-08,8.925625e-08,2.01875e-08,1.8593749999999997e-08,1.540625e-08,1.009375e-08,4.78125e-09,5.84375e-09,3.028125e-09
2.06625e-08,1.35375e-08,1.4725000000000001e-08,2.01875e-08,2.5924999999999996e-08,8.3125e-09,6.8875000000000005e-09,4.512500000000001e-09,2.1375e-09,2.6125000000000002e-09,1.3537500000000002e-09
1.903125e-08,1.2468749999999999e-08,1.35625e-08,1.8593749999999997e-08,8.3125e-09,1.9756250000000002e-08,6.34375e-09,4.15625e-09,1.9687500000000003e-09,2.40625e-09,1.246875e-09
1.576875e-08,1.033125e-08,1.12375e-08,1.540625e-08,6.8875000000000005e-09,6.34375e-09,1.525625e-08,3.4437500000000002e-09,1.6312500000000001e-09,1.99375e-09,1.033125e-09
1.033125e-08,6.76875e-09,7.3625000000000006e-09,1.009375e-08,4.512500000000001e-09,4.15625e-09,3.4437500000000002e-09,8.656250000000002e-09,1.06875e-09,1.3062500000000001e-09,6.768750000000001e-10
4.89375e-09,3.20625e-09,3.4875000000000002e-09,4.78125e-09,2.1375e-09,1.9687500000000003e-09,1.6312500000000001e-09,1.06875e-09,3.00625e-09,6.187500000000001e-10,3.20625e-10
5.98125e-09,3.91875e-09,4.2625e-09,5.84375e-09,2.6125000000000002e-09,2.40625e-09,1.99375e-09,1.3062500000000001e-09,6.187500000000001e-10,5.656249999999999e-09,3.9187500000000006e-10
3.099375e-09,2.030625e-09,2.2087500000000003e-09,3.028125e-09,1.3537500000000002e-09,1.246875e-09,1.033125e-09,6.768750000000001e-10,3.20625e-10,3.9187500000000006e-10,1.8840625e-09
