qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,total_xsec,error_mult_1,bin_integrate_factor
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,-2.4,2.4,0.02861,0.000106,9.7e-05,0.000103,0.0,266.827,0.0024547741,1.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,-2.4,2.4,0.05874,0.000135,0.000182,0.0002,0.0,266.827,0.0024547741,1.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,-2.4,2.4,0.05834,0.000134,0.000134,0.000204,0.0,266.827,0.0024547741,1.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,-2.4,2.4,0.04972,0.000129,0.000109,0.000169,0.0,266.827,0.0024547741,1.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,-2.4,2.4,0.04106,0.000115,9.9e-05,0.00014,0.0,266.827,0.0024547741,1.0
True,11.0,10.0,12.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,-2.4,2.4,0.03385,0.000105,8.8e-05,0.000118,0.0,266.827,0.0024547741,1.0
