model,rank,test,delta_chi2_total,delta_absdev,delta_shortfall
poly_bstar_cslog_alpha1,1,c1_zero,84.42513263736366,0.0013981306497501,0.0093382418112085
poly_bstar_cslog_alpha1,2,lambda3_zero,35.32269576331806,0.0051417665597605,0.0027310480434373
poly_bstar_cslog_alpha1,3,lambda4_zero,31.414393405851214,0.0021341312259529,0.0032287246125399
poly_bstar_cslog_loggauss_reduced,1,c1_zero,80.52574703401952,0.0009621598151659,0.0093244391990068
poly_bstar_cslog_loggauss_reduced,2,bump_off,14.168196783249032,0.0017012566737279,0.0007102631265616
poly_bstar_cslog_loggauss_reduced,3,lambda4_zero,7.45097446161322,0.0006982061588569,-0.0010186209071032
