model,param,value,sigma_norm,sigma_phys,frac_uncertainty
poly_bstar_cslog_alpha1,lambda1,1.32983936255,794.7595245024289,6342.181005529383,4769.133163097303
poly_bstar_cslog_alpha1,lambda2,1.54855558475,208.4500149407332,1663.431119227051,1074.1823771831844
poly_bstar_cslog_alpha1,lambda3,-2.86759071873,937.7141837666405,18754.283675332812,6540.083824667531
poly_bstar_cslog_alpha1,lambda4,0.24471251554,513.0208013126809,513.0208013126809,2096.4224088850247
poly_bstar_cslog_alpha1,BNP,1.46844336125,1166.4908499844773,4782.612484936357,3256.926764179177
poly_bstar_cslog_alpha1,c0,0.0811411926978,483.31702440364535,120.82925610091134,1489.1234905915724
poly_bstar_cslog_alpha1,c1,0.0213439252322,550.9991694403907,137.74979236009767,6453.817227221391
