rank,model,test,fixed_map,chi2dN_total,chi2_total,highE_mean_absdev_first3,highE_mean_shortfall_first3,delta_chi2dN,delta_chi2_total,delta_absdev,delta_shortfall,fit_evals,fit_elapsed_s
1,poly_bstar_cslog_loggauss_reduced,c1_zero,"{""c1"": 0.0}",1.0007493363613915,465.3484414080472,0.052415520674801,0.0198118676698874,0.1731736495355258,80.52574703401952,0.0009621598151659,0.0093244391990068,90,7.532719600000291
2,poly_bstar_cslog_loggauss_reduced,bump_off,"{""amp"": 0.0, ""logx0"": -4.58250621488, ""sigx"": 0.297130628652}",0.8580449272199498,398.9908911572767,0.0531546175333631,0.0111976915974421,0.0304692403940839,14.168196783249032,0.0017012566737279,0.0007102631265616,90,7.693595100000039
3,poly_bstar_cslog_loggauss_reduced,lambda4_zero,"{""lambda4"": 0.0}",0.8435992878185825,392.2736688356409,0.052151567018492,0.0094688075637772,0.0160236009927166,7.45097446161322,0.0006982061588569,-0.0010186209071032,90,7.676185899999837
