qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,1.25,0.0,2.5,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0322,0.0013,0.0
True,3.75,2.5,5.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0592,0.0017,0.0
True,6.25,5.0,7.5,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.055,0.0016,0.0
True,8.75,7.5,10.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0396,0.0014,0.0
True,11.25,10.0,12.5,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0353,0.0012,0.0
True,13.75,12.5,15.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0272,0.0012,0.0
True,16.25,15.0,17.5,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0216,0.001,0.0
True,18.75,17.5,20.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0165,0.0009,0.0
True,25.0,20.0,30.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.0116,0.0004,0.0
True,35.0,30.0,40.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.00598,0.00027,0.0
True,45.0,40.0,50.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.00338,0.00018,0.0
True,60.0,50.0,70.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.00181,9e-05,0.0
True,80.0,70.0,90.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.000779,5.4e-05,0.0
True,100.0,90.0,110.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.000475,4.2e-05,0.0
True,130.0,110.0,150.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.000193,1.7e-05,0.0
True,170.0,150.0,190.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,6e-05,1e-05,0.0
True,220.0,190.0,250.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,1.5e-05,4e-06,0.0
True,425.0,250.0,600.0,True,91.0,60.0,120.0,True,0.0,0,2.1,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,1e-06,0.0,0.0
