,lambda1,lambda2,lambda3,lambda4,alpha,BNP,c0,c1
lambda1,1.0,-0.30795708473767675,-0.6778034655404596,0.8981310770462377,0.052056765777910456,0.9101891307185354,-0.9507892498701134,-0.22268126535211347
lambda2,-0.3079507299492106,1.0,-0.43521552692973525,-0.10384252836470632,-0.060969533371687305,-0.3578657030511884,0.45741635808243863,-0.4013181320963664
lambda3,-0.6778068635292855,-0.43520992872851944,1.0,-0.6166361660162986,-0.2897786390393186,-0.4451286447715111,0.6011501588490817,0.24384609470954555
lambda4,0.8981338557406291,-0.1038487505816616,-0.6166352867842995,1.0,-0.3613229668527912,0.9653026473196192,-0.7195835230947295,-0.6262923223424599
alpha,0.05205254982317698,-0.06096941503311569,-0.28977498830414533,-0.36132704311094443,1.0,-0.35385391028008184,-0.3140550338507624,0.8501816656129342
BNP,0.910190173969668,-0.35787146268890613,-0.44512648406153277,0.9653011503479755,-0.35385010859334187,1.0,-0.7751315631568709,-0.5037383704709646
c0,-0.950787089131578,0.45742195353666615,0.6011452634005228,-0.7195789607648606,-0.3140587862778612,-0.7751286861869728,1.0,-0.08977275827364192
c1,-0.2226878508315889,-0.40131540448784253,0.24385043764811334,-0.6262975777638985,0.8501799786712076,-0.5037438914093058,-0.08976603225938616,1.0
