name,total_xsec,error
ATLAS7-00y10,1.0,0.0
ATLAS7-10y20,1.0,0.0
ATLAS7-20y24,1.0,0.0
ATLAS13,1.0,0.0
CMS7,1.0,0.0
CMS8,1.0,0.0
D02,1.0,0.0
D02mu,1.0,0.0
