name,total_xsec,error
ATLAS7-00y10,270.232,0.33
ATLAS7-10y20,195.062,0.312
ATLAS7-20y24,18.5857,0.0537
ATLAS13,739.189,1.64
CMS7,412.906,0.493
CMS8,492.492,0.832
D02,255.264,0.129
D02mu,125.442,0.106
