name,total_xsec,error
ATLAS7-00y10,266.827,0.655
ATLAS7-10y20,192.119,0.591
ATLAS7-20y24,18.609,0.135
ATLAS13,750.234,4.999
CMS7,409.166,1.920
CMS8,488.087,2.289
D02,257.094,0.541
D02mu,126.962,0.360
