Name,E605
Comment,E605 data
Reference,Phys.Rev.D 43 (1991) 2815
Process type,DY
Number of points,74
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.15
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E605.13Q18.0,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.1,0.0,0.2,0.024,0.00664918,0.0012000000000000001,26.525823848649996,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.1,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.3,0.19999999999999998,0.4,0.0206,0.004361078,0.00103,8.84194128288333,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.2,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.5,0.4,0.6,0.0188,0.003656898,0.0009400000000000001,5.305164769730001,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.3,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.7,0.6,0.7999999999999999,0.0171,0.003204473,0.0008550000000000001,3.789403406950001,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.4,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.9,0.8,1.0,0.00973,0.001926765,0.00048650000000000006,2.9473137609611118,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.5,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.1,1.0,1.2000000000000002,0.0107,0.002012548,0.000535,2.411438531695452,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.6,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.3,1.2,1.4000000000000001,0.00791,0.001528674,0.0003955,2.0404479883576903,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.7,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.5,1.4,1.6,0.00605,0.001183584,0.00030250000000000003,1.7683882565766642,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.8,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.7,1.5999999999999999,1.8,0.0035,0.000751885,0.00017500000000000003,1.5603425793323515,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.9,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.9,1.7999999999999998,2.0,0.00194,0.0004721981,9.700000000000001e-05,1.396095992034209,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.10,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.1,2.0,2.2,0.002,0.00048369,0.0001,1.263134468983332,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.11,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.3,2.1999999999999997,2.4,0.00136,0.0003642472,6.800000000000001e-05,1.153296689071738,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.12,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.5,2.4,2.6,0.00136,0.0003594218,6.800000000000001e-05,1.061032953945999,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.13,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.7,2.6,2.8000000000000003,0.0006,0.0002132627,2.9999999999999997e-05,0.9824379203203694,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.14,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.9,2.8,3.0,0.000435,0.0001796848,2.175e-05,0.9146835809879302,False,0.0,0.0,-1000.0,1000.0
