candidate,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_total_vs_powerseed,delta_absdev_vs_powerseed,delta_shortfall_vs_powerseed,fit_evals,fit_flag,lambda1,lambda2,lambda4,logx0,sigx,amp,BNP,c0,c1,logxs
swap_softlogfit,0.825913360612545,0.8871007711576044,0.7434030645745103,0.05167749409164277,0.010624505691238044,0.10206530097066624,-0.017329396131833028,-0.00031905912775231915,0.00024310666547412707,0.00017819670573416407,630.0,1.0,0.5357803893146338,0.6409882619485591,0.02489339060029494,-4.5924321595774265,0.3185183089001395,-0.5214737971943908,1.4206403267101373,0.07927377592457181,0.022246693098579778,-5.815499806590652
powerseed,0.8262324197402973,0.8873009892350718,0.7438823790579502,0.05143438742616864,0.01044630898550388,0.10190219748922232,-0.017031849234213414,,,,,,,,,,,,,,,
swap_powquarter,0.8266139763938466,0.886429486609042,0.7459536671642647,0.05114297201999974,0.010430462241370482,0.10122486414656236,-0.017013163535610283,0.0003815566535493309,-0.0002914154061689003,-1.5846744133397178e-05,630.0,1.0,0.5025996418739977,0.6302332804019102,-0.03437931770314817,-4.5700341784095695,0.3615194516351177,-0.4982906701113654,1.4503360506618006,0.07948000572443345,0.021361748208155333,
swap_sqrtlog,0.8282577923832619,0.8937004489499115,0.7400093615585371,0.052567585924271305,0.010963745760374807,0.10343085390385394,-0.017887078596699815,0.0020253726429646512,0.0011331984981026652,0.0005174367748709274,630.0,1.0,0.42548235131407947,0.7467492622688591,0.027768331596480622,-4.638295854991339,0.3663223901464846,-0.31627537309503206,1.406244890318057,0.07707895086176546,0.02310208401120895,
