0,1,2,3,4,5,6,7
3.545452796472082e-05,3.277957239758629e-05,2.8056211663181787e-05,2.2375003988172062e-05,1.649015519085538e-05,1.1545784624204207e-05,7.659238810846268e-06,4.894960779546885e-06
3.277957239758629e-05,3.0307483941054252e-05,2.5942272621440918e-05,2.069110386250961e-05,1.5253117616133597e-05,1.0682526298129046e-05,7.089714336010452e-06,4.533879852125844e-06
2.8056211663181787e-05,2.5942272621440918e-05,2.220935646805953e-05,1.7717447391870638e-05,1.3068334925654679e-05,9.15770487317062e-06,6.083528069440847e-06,3.895765435527871e-06
2.2375003988172062e-05,2.069110386250961e-05,1.7717447391870638e-05,1.4137798240275117e-05,1.0435470074656274e-05,7.318129529034251e-06,4.8674025584817105e-06,3.1224294361767423e-06
1.649015519085538e-05,1.5253117616133597e-05,1.3068334925654679e-05,1.0435470074656274e-05,7.717855533701011e-06,5.423186799693398e-06,3.6189536318412283e-06,2.3325090467263935e-06
1.1545784624204207e-05,1.0682526298129046e-05,9.15770487317062e-06,7.318129529034251e-06,5.423186799693398e-06,3.818578977663153e-06,2.5567067129591363e-06,1.6556799220563642e-06
7.659238810846268e-06,7.089714336010452e-06,6.083528069440847e-06,4.8674025584817105e-06,3.6189536318412283e-06,2.5567067129591363e-06,1.721131334049076e-06,1.1230816258339868e-06
4.894960779546885e-06,4.533879852125844e-06,3.895765435527871e-06,3.1224294361767423e-06,2.3325090467263935e-06,1.6556799220563642e-06,1.1230816258339868e-06,7.405775082745945e-07
