param_i,param_j,corr,abs_corr
c0,c1,0.9999999998348162,0.9999999998348162
lambda3,alpha,-0.9999999994621622,0.9999999994621622
alpha,c1,-0.9999999988429843,0.9999999988429843
alpha,c0,-0.9999999987567523,0.9999999987567523
lambda3,c0,0.9999999981802637,0.9999999981802637
lambda3,c1,0.9999999981711722,0.9999999981711722
BNP,c1,-0.9999999941191949,0.9999999941191949
BNP,c0,-0.999999993507687,0.999999993507687
alpha,BNP,0.9999999931055297,0.9999999931055297
lambda3,BNP,-0.9999999930082886,0.9999999930082886
lambda4,c1,-0.9999999910791508,0.9999999910791508
lambda4,c0,-0.9999999905805586,0.9999999905805586
