model,param,value,sigma_norm,sigma_phys,reference,z_vs_reference,frac_uncertainty
poly_bstar_cslog_loggauss,lambda1,0.751790557715,861.3006787487849,6873.179416415304,,,9142.412532162836
poly_bstar_cslog_loggauss,lambda2,0.986935896203,1167.7372970696742,9318.543630616,,,9441.893507437382
poly_bstar_cslog_loggauss,lambda3,-0.623882667176,1034.5530550480205,20691.06110096041,0.0,-3.0152279969200877e-05,
poly_bstar_cslog_loggauss,lambda4,0.0560270448657,971.7238640574345,971.7238640574345,0.0,5.765737257059736e-05,
poly_bstar_cslog_loggauss,alpha,0.803121319424,1308.389010347673,2616.778020695346,1.0,-7.523705832857928e-05,
poly_bstar_cslog_loggauss,logx0,-4.53706451302,1379.9272175560518,11048.204520841253,,,2435.0997190223447
poly_bstar_cslog_loggauss,sigx,0.334331203755,982.037572233906,2307.788294749679,,,6902.700881132355
poly_bstar_cslog_loggauss,amp,-0.340188252902,1024.5078142479674,4098.03125699187,0.0,-8.301260570465066e-05,
poly_bstar_cslog_loggauss,BNP,1.6196263122,1127.9514702828094,4624.601028159517,,,2855.3506406534884
poly_bstar_cslog_loggauss,c0,0.0750357350877,553.7073656293323,138.4268414073331,,,1844.8122250757328
poly_bstar_cslog_loggauss,c1,0.0200510056903,510.1467133024961,127.53667832562402,0.0,0.00015721756245764992,
