,lambda1,lambda2,lambda4,logx0,sigx,amp,BNP,c0,c1
lambda1,0.0033109413877363057,-0.0037309538198651215,0.0005804568172582776,-0.00115187991140848,-0.00015595016949891246,-0.0010724194907643784,-0.0002857654574100788,-4.231747777979834e-05,-1.1940049326390162e-05
lambda2,-0.003730953819865122,0.007001994052405975,-0.0005499916498347407,0.001982885868890775,6.188033760368685e-05,0.0017468918587581381,-0.001006430278907932,3.1029388134447045e-05,6.69572120386454e-06
lambda4,0.0005804568172582776,-0.0005499916498347402,0.0002451401944851735,0.00023613648226182546,4.8995276239072735e-05,4.680548798650041e-05,-2.4114674167560973e-05,1.5030094422341267e-05,-5.731619425923922e-06
logx0,-0.0011518799114084819,0.0019828858688907764,0.00023613648226182525,0.03931355582240621,0.0013951743589550904,0.0030169720943460563,-0.0016212840944459298,0.00015192808068339582,5.608090203636173e-05
sigx,-0.00015595016949891257,6.188033760368712e-05,4.8995276239072755e-05,0.0013951743589550904,0.0015500095238693099,0.0010266913768621794,-5.7483308834563254e-06,2.6527600698793775e-05,-2.9458877589860547e-06
amp,-0.0010724194907643788,0.001746891858758139,4.680548798650034e-05,0.0030169720943460563,0.001026691376862179,0.011160817391162604,0.00022475208024491975,3.876338519161484e-05,5.718117636569622e-06
BNP,-0.00028576545741007764,-0.0010064302789079332,-2.4114674167560637e-05,-0.00162128409444593,-5.748330883456241e-06,0.00022475208024491983,0.002266455291383788,-1.3834030630748167e-05,-4.147327581970708e-05
c0,-4.2317477779798385e-05,3.1029388134447106e-05,1.5030094422341262e-05,0.00015192808068339577,2.6527600698793775e-05,3.8763385191614846e-05,-1.3834030630748155e-05,7.044790055696699e-06,2.1333162886431222e-06
c1,-1.1940049326390224e-05,6.6957212038646005e-06,-5.731619425923939e-06,5.60809020363617e-05,-2.9458877589860568e-06,5.718117636569633e-06,-4.1473275819707054e-05,2.1333162886431222e-06,4.5355988112744e-06
