param,value,sigma_norm,sigma_phys,frac_uncertainty
lambda1,0.543680868462,0.007210624087076801,0.057540780214872876,0.10583558030586582
lambda2,0.624789037837,0.010485954705173493,0.08367791854728447,0.1339298762938844
lambda4,0.0246503980779,0.015656953550584912,0.015656953550584912,0.6351602721021351
logx0,-4.58085522435,0.024764846407994156,0.19827646310746572,0.043283721793587165
sigx,0.33536604003,0.016753259711972106,0.039370160323134444,0.11739459463341193
amp,-0.485169528067,0.02641119245599605,0.1056447698239842,0.21774815546411455
BNP,1.41627869933,0.011611537297732982,0.047607302920705225,0.03361436060799816
c0,0.0793882165002,0.01061680935550541,0.0026542023388763524,0.033433202758367364
c1,0.0222843375467,0.00851877813893462,0.002129694534733655,0.09556912025186197
