mode,sign,file,bin_index,qT,ratio
1,-,CMS_13\CMS13-170Q350.csv,0,1.0,1.0781452536236409
1,-,CMS_13\CMS13-170Q350.csv,1,3.0,1.0937724200467294
1,-,CMS_13\CMS13-170Q350.csv,2,5.0,1.0840088426405998
1,-,CMS_13\CMS13-170Q350.csv,3,7.0,1.079257145677998
1,-,CMS_13\CMS13-170Q350.csv,4,9.0,1.036067647541881
1,-,CMS_13\CMS13-170Q350.csv,5,11.0,1.0121020053496146
1,-,CMS_13\CMS13-170Q350.csv,6,13.0,1.0490070623424115
1,-,CMS_13\CMS13-170Q350.csv,7,16.0,1.057068660964061
1,-,CMS_13\CMS13-170Q350.csv,8,20.0,1.0062745341690638
1,-,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472991986585407
1,-,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1168905541676433
1,-,CMS_13\CMS13-350Q1000.csv,1,3.0,1.132547591639831
1,-,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1048030550558339
1,-,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1285266779406473
1,-,CMS_13\CMS13-350Q1000.csv,4,9.0,1.19605268494314
1,-,CMS_13\CMS13-350Q1000.csv,5,11.0,1.124769393632661
1,-,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773828494672973
1,-,CMS_13\CMS13-350Q1000.csv,7,16.0,1.064823838333561
1,-,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098889881280346
1,-,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299758452885222
1,-,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036687592079617
1,-,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9899875083363492
1,-,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9938083948944036
1,-,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.003397338476286
1,-,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9902346672916186
1,-,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.99290835387911
1,-,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9980112291410523
1,-,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9882633787536147
1,-,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9912717406659729
1,-,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9948798558010233
1,-,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.987930827309715
1,-,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.999331842007128
1,-,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9962676455176585
1,-,LHCb_8\LHCb8.csv,0,1.1,0.9518855828870085
1,-,LHCb_8\LHCb8.csv,1,2.8,0.9601204372338795
1,-,LHCb_8\LHCb8.csv,2,4.0,0.9704141403778281
1,-,LHCb_8\LHCb8.csv,3,5.2,0.9681962419104394
1,-,LHCb_8\LHCb8.csv,4,6.5,0.9737787388136375
1,-,LHCb_8\LHCb8.csv,5,7.95,0.9816128585056186
1,-,LHCb_8\LHCb8.csv,6,9.6,0.9968172320871913
1,+,CMS_13\CMS13-170Q350.csv,0,1.0,1.0780648999782496
1,+,CMS_13\CMS13-170Q350.csv,1,3.0,1.0940529854441117
1,+,CMS_13\CMS13-170Q350.csv,2,5.0,1.0844240762177697
1,+,CMS_13\CMS13-170Q350.csv,3,7.0,1.0795091480940546
1,+,CMS_13\CMS13-170Q350.csv,4,9.0,1.0361493606809549
1,+,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120742868307713
1,+,CMS_13\CMS13-170Q350.csv,6,13.0,1.0489081396260636
1,+,CMS_13\CMS13-170Q350.csv,7,16.0,1.056937596006115
1,+,CMS_13\CMS13-170Q350.csv,8,20.0,1.0061358572334371
1,+,CMS_13\CMS13-170Q350.csv,9,25.0,1.0471647505044261
1,+,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1168551404310876
1,+,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1328710820031378
1,+,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1052256809795364
1,+,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1288090527794044
1,+,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1961802488332463
1,+,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247754943360935
1,+,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773104426648582
1,+,CMS_13\CMS13-350Q1000.csv,7,16.0,1.064719132889507
1,+,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0097718018438115
1,+,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9298708986048355
1,+,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1035778234660063
1,+,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9901915952256752
1,+,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9942053326838203
1,+,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0038075576341325
1,+,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9903779776777656
1,+,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.99285027383548
1,+,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9978104075718729
1,+,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9868957493460004
1,+,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9912385991978173
1,+,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9954659047352554
1,+,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9883493591069525
1,+,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9995186350950114
1,+,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9962977157776992
1,+,LHCb_8\LHCb8.csv,0,1.1,0.9523320527910543
1,+,LHCb_8\LHCb8.csv,1,2.8,0.9606136991525099
1,+,LHCb_8\LHCb8.csv,2,4.0,0.9709758920548992
1,+,LHCb_8\LHCb8.csv,3,5.2,0.9685878780284628
1,+,LHCb_8\LHCb8.csv,4,6.5,0.9738741837954568
1,+,LHCb_8\LHCb8.csv,5,7.95,0.9815011555693949
1,+,LHCb_8\LHCb8.csv,6,9.6,0.996602814313584
1,0,CMS_13\CMS13-170Q350.csv,0,1.0,1.078311917047168
1,0,CMS_13\CMS13-170Q350.csv,1,3.0,1.0940009935564634
1,0,CMS_13\CMS13-170Q350.csv,2,5.0,1.0842179049409413
1,0,CMS_13\CMS13-170Q350.csv,3,7.0,1.0793576558066018
1,0,CMS_13\CMS13-170Q350.csv,4,9.0,1.0360824225747456
1,0,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120632780573298
1,0,CMS_13\CMS13-170Q350.csv,6,13.0,1.048935979467804
1,0,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569848419323455
1,0,CMS_13\CMS13-170Q350.csv,8,20.0,1.0061913760759498
1,0,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472213158188732
1,0,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1170604814063099
1,0,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1327971531226573
1,0,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1050240942763327
1,0,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1286512152616714
1,0,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1960943972734366
1,0,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247510142982697
1,0,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773271112223014
1,0,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0647568596552497
1,0,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098190875374455
1,0,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299155052677535
1,0,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036182393513199
1,0,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9917872501803132
1,0,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9944658586505487
1,0,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0034079916746375
1,0,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9900033777763841
1,0,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9926165016598688
1,0,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9976735252541953
1,0,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9874099898538297
1,0,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.991212600287454
1,0,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9951937600308928
1,0,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9881681902207211
1,0,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9994519582972368
1,0,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9963051261676482
1,0,LHCb_8\LHCb8.csv,0,1.1,0.9521620132646434
1,0,LHCb_8\LHCb8.csv,1,2.8,0.9603843717203012
1,0,LHCb_8\LHCb8.csv,2,4.0,0.9706893009382569
1,0,LHCb_8\LHCb8.csv,3,5.2,0.9683799654436002
1,0,LHCb_8\LHCb8.csv,4,6.5,0.9738159216454174
1,0,LHCb_8\LHCb8.csv,5,7.95,0.9815471385450208
1,0,LHCb_8\LHCb8.csv,6,9.6,0.9966982311763721
2,-,CMS_13\CMS13-170Q350.csv,0,1.0,1.0783163570733958
2,-,CMS_13\CMS13-170Q350.csv,1,3.0,1.0940824634134387
2,-,CMS_13\CMS13-170Q350.csv,2,5.0,1.0843812890697742
2,-,CMS_13\CMS13-170Q350.csv,3,7.0,1.0794819462039305
2,-,CMS_13\CMS13-170Q350.csv,4,9.0,1.0361344955564267
2,-,CMS_13\CMS13-170Q350.csv,5,11.0,1.012058166841089
2,-,CMS_13\CMS13-170Q350.csv,6,13.0,1.0488967298548584
2,-,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569265832866195
2,-,CMS_13\CMS13-170Q350.csv,8,20.0,1.0061289674492293
2,-,CMS_13\CMS13-170Q350.csv,9,25.0,1.0471604236800003
2,-,CMS_13\CMS13-350Q1000.csv,0,1.0,1.117145689595647
2,-,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1329425383458096
2,-,CMS_13\CMS13-350Q1000.csv,2,5.0,1.10519916693199
2,-,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1287829946986465
2,-,CMS_13\CMS13-350Q1000.csv,4,9.0,1.196159923552302
2,-,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247537171415627
2,-,CMS_13\CMS13-350Q1000.csv,6,13.0,1.177292539399456
2,-,CMS_13\CMS13-350Q1000.csv,7,16.0,1.064703367840054
2,-,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0097606999853062
2,-,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9298631183729313
2,-,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1035747483442977
2,-,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9917781731450634
2,-,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9945351663770318
2,-,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0035808575732175
2,-,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9901149314234866
2,-,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9926325704719398
2,-,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9976111677539199
2,-,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9883775145195034
2,-,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9915546573801195
2,-,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9952539220591654
2,-,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9881033072354684
2,-,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9993098778855082
2,-,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9961123947860832
2,-,LHCb_8\LHCb8.csv,0,1.1,0.9519471077273609
2,-,LHCb_8\LHCb8.csv,1,2.8,0.9603533293412003
