candidate,label,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3
poly_bstar_cslog_cspower,Poly-x bstar + CSlog + powerCS,0.8039268457868273,0.9190403609446526,0.648698014740669,0.05247326077909278,0.012446804450773737,0.09935506975450041,-0.02027062670709143
poly_cslog2_cspower,Poly-x + CSlog2 + powerCS,0.8209763881030802,0.8935033266038079,0.7231749104278568,0.05204653079484984,0.017305701865312936,0.08685207232384225,-0.028842836442188227
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,0.8221619902970602,0.8805631582925513,0.7434089001213219,0.051220154691675825,0.010736997505595225,0.10083778343058043,-0.017648256152911337
baseline_unfrozen,0112 baseline,0.8351733705755989,1.0144822122713228,0.5933781143495475,0.05501882486826932,0.020125058279257278,0.0872344164725301,-0.033541763798762135
art23_mu_poly_bstar_cslog,Poly-x bstar + CSlog,0.8355869923906141,0.900694549840699,0.7477904376473182,0.05276569052714571,0.012498705187629567,0.0998543228054009,-0.020289081617122964
