candidate,label,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3
reduced_full,Reduced loggauss,0.8275760296024601,0.8889997222716473,0.7447471107000718,0.051453389938114054,0.010487435159192933,0.10182227944667177,-0.01708398693156754
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",0.8448506973986238,0.9123957625231637,0.7537672004882595,0.051901536969172254,0.010625172378648217,0.10292555839214323,-0.01753171857496912
