qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,-2.4,2.4,0.5629,0.004503,0.002252,0.009006,0.028,1.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,-2.4,2.4,1.141,0.005705,0.003423,0.012551,0.028,1.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,-2.4,2.4,1.12,0.00672,0.00336,0.00784,0.028,1.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,-2.4,2.4,0.9583,0.00575,0.002875,0.007666,0.028,1.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,-2.4,2.4,0.8113,0.004868,0.002434,0.005679,0.028,1.0
True,11.5,10.0,13.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,-2.4,2.4,0.6506,0.003904,0.001952,0.003904,0.028,0.6666666667
