model,label,table_name,n,m,initial_chi2dN_total,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_weighted_chi2dN,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_chi2_vs_initial,delta_absdev_vs_initial,fit_evals,fit_elapsed_s,stage1_best_log10_chi2,stage2_best_log10_chi2
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-4-2,4,2,1.4744067806517245,1.0629984201091947,1.0236692944192838,1.1160331502061949,1.5841248376886339,0.05139288167526254,0.010169358314130484,0.10218880345401897,-0.016368927224343355,-0.4114083605425298,-0.0008715417581772883,630,60.86329530000512,0.03518755966060479,0.027182418072732542
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-0-0,0,0,5.5011851229045545,0.9205626045657404,1.0441125672020495,0.7539573519198085,2.0994467929610403,0.05195927700532628,0.014288305218306189,0.09347315277442374,-0.023344324235092657,-4.5806225183388145,-0.014944092018324348,630,71.81437550000555,-0.026324088631474767,-0.0350639771328187
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-4-4,4,4,3.8670442589570646,1.0987234749688868,1.2156657941413322,0.9410285294181655,2.360041983209803,0.05259016834470988,0.008051397762567936,0.1086930387423825,-0.011649737795631646,-2.7683207839881776,-0.00883930031417203,630,60.23524310000357,0.1006119826757295,0.042014920358121925
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-0-2,0,2,0.835583851047394,0.8346279392568189,0.8998904683296135,0.7466224076283524,1.4951391893220398,0.052820581068008354,0.012534828701889222,0.09991459238050864,-0.020358188813289237,-0.0009559117905750814,5.488146647342901e-05,628,68.9883062000008,-0.07801302253465012,-0.07848640838119042
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-0-2,0,2,0.8221643873056301,0.8221223758409011,0.8805263302707618,0.7433655282006343,1.3705766887333977,0.051245211915544917,0.010761681199084598,0.10083046694625102,-0.017683895435207802,-4.201146472904149e-05,2.5033894171189175e-05,630,62.054366099997424,-0.08505214660674179,-0.08505683932959629
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-4-4,4,4,3.823486917151954,1.0846746213374712,1.211356879072951,0.9138455162093244,2.2416109263896455,0.05212912382105702,0.006032169944492064,0.11279877243577448,-0.008424541737061506,-2.7388122958144825,-0.0077990486501948175,630,60.8423763000028,0.07176879665478951,0.040406575725588895
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-4-2,4,2,1.4381001746475675,1.008633347076392,0.9407822988698195,1.1001294575367702,1.2829213125867287,0.05243820765888248,0.009748844236052105,0.10632905707776215,-0.015985172740544326,-0.4294668275711755,0.0014386209342746106,630,61.68249839999771,0.022969376216033854,0.00577692104092751
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-0-0,0,0,5.445007395660308,0.921825396782798,1.0286076574951573,0.7778311361252229,2.10749742941889,0.05508759401192047,0.01575094745744797,0.097782199516858,-0.025878634516197777,-4.52318199887751,-0.010387178372442504,630,61.63142859999789,0.014219709172593555,-0.018069693164984982
