candidate,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_total_vs_reduced_loggauss,delta_absdev_vs_reduced_loggauss,delta_shortfall_vs_reduced_loggauss,fit_evals,fit_flag,lambda1,lambda2,lambda4,logx0,sigx,amp,BNP,c0,c1,skew,pshape
reduced_loggauss_power,0.826635390967404,0.8871707239683784,0.7450044116176054,0.0513212241329971,0.0103859192832674,0.1017646054798712,-0.0169274277091439,-0.0009441436002877,-0.0001321775868423,-0.0001015291589162,525,1,0.5693778337030312,0.5953832682365158,0.0312650757371079,-4.584336752505821,0.3478514518579985,-0.4658737976839893,1.4120809629510125,0.0794804063978024,0.0223289835681865,,2.141577613964356
reduced_loggauss_asym,0.826453666613938,0.8875631699922707,0.7440484272098232,0.0513906483009334,0.0105201436129016,0.1016111986556301,-0.0171568639785364,-0.0011258679537536,-6.27534189059642e-05,3.269517071788873e-05,525,1,0.5621761438042873,0.60552302398059,0.0295920287277207,-4.4972532979059405,0.3346369806429707,-0.4582365979854637,1.4116588775214869,0.0794117484556104,0.0221757073650264,-0.1703701855638195,
reduced_loggauss_powerseed,0.8262324197402973,0.8873009892350718,0.7438823790579502,0.05143438742616864,0.01044630898550388,0.10190219748922232,-0.017031849234213414,-0.0013471148273944689,-1.901429367079377e-05,-4.11394566798718e-05,525,1,0.5436808684622739,0.6247890378368363,0.02465039807787328,-4.580855224347578,0.33536604002972126,-0.48516952806747216,1.4162786993301064,0.0793882165001912,0.022284337546689285,,
reduced_loggauss_power_asym,0.8261144767471458,0.8866005080144911,0.7445499800381493,0.0514749506829308,0.0105965788214435,0.1016619502546806,-0.0173049784363806,-0.0014650578205459,2.154896309145005e-05,0.0001091303792597,630,1,0.5379011009272706,0.6226729365383238,0.0222980054468948,-4.579929780519482,0.3189756611966965,-0.5251093797528308,1.4343634947411703,0.0788738923599848,0.0217462143640162,-0.0252470716846999,1.961502847186996
reduced_loggauss_refit,0.8260371491670296,0.8868626198679783,0.7440149235248413,0.0515484226218043,0.0105577212307032,0.1019283330765055,-0.0172305884503404,-0.001542385400662,9.50209019649484e-05,7.02727885194699e-05,525,1,0.5163127729037191,0.647029357541088,0.017442715410447,-4.576230871336622,0.3370444249905274,-0.4883228309587832,1.4325644544992988,0.0791409576275764,0.0219880536369465,,
reduced_logsech,0.8270393569305438,0.8912429696946131,0.7404617579002084,0.0516446234783871,0.0104744738640612,0.1023177573623955,-0.0170523786578225,-0.0005401776371479,0.0001912217585476,-1.297457812254009e-05,525,1,0.5518366878789561,0.6395718574709714,0.0248691829480171,-4.553734682308519,0.2656242196974172,-0.4537253014191649,1.3725349722074558,0.0795710905668334,0.0232129967015031,,
reduced_loglorentz,0.8269541700292041,0.8896403274224636,0.742422836574657,0.0518558095543342,0.010720044373037,0.1022393837244274,-0.0174667211358512,-0.0006253645384876,0.0004024078344948,0.0002325959308532,525,1,0.5436396780299091,0.634662780513899,0.0180028060499146,-4.580350310235642,0.3508299526966648,-0.4960620736165575,1.3954530436097878,0.0794172524746847,0.0226784132241745,,
