0,1,2,3
1.4902502542405592e-05,1.9646082506281847e-05,1.0669926138069105e-05,5.510264944111789e-06
1.9646082506281847e-05,2.907829080943652e-05,1.8561897124036944e-05,1.0959131972157445e-05
1.0669926138069105e-05,1.8561897124036944e-05,1.4122221237195437e-05,9.354524801403891e-06
5.510264944111789e-06,1.0959131972157445e-05,9.354524801403891e-06,6.609297241560956e-06
