qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,90.0,85.0,95.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.000654,2e-06,1e-06,0.0,0.2
True,100.0,95.0,105.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.000485,2e-06,1e-06,0.0,0.2
True,115.0,105.0,125.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.000329,1e-06,0.0,0.0,0.1
True,137.5,125.0,150.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.000186,1e-06,0.0,0.0,0.08
True,162.5,150.0,175.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.000105,1e-06,0.0,0.0,0.08
True,187.5,175.0,200.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,6.1e-05,0.0,0.0,0.0,0.08
True,225.0,200.0,250.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,3.1e-05,0.0,0.0,0.0,0.04
True,275.0,250.0,300.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,1.2e-05,0.0,0.0,0.0,0.04
True,325.0,300.0,350.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,6e-06,0.0,0.0,0.0,0.04
True,375.0,350.0,400.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,3e-06,0.0,0.0,0.0,0.04
True,435.0,400.0,470.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,1e-06,0.0,0.0,0.0,0.0285714286
True,510.0,470.0,550.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,1e-06,0.0,0.0,0.0,0.025
True,600.0,550.0,650.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.0,0.0,0.0,0.0,0.02
True,775.0,650.0,900.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.0,0.0,0.0,0.0,0.008
True,1700.0,900.0,2500.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,3e-06,2e-06,0.0,0.0,0.00125
