qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.125,0.0,0.25,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.755,0.0752,0.1,20.0
True,0.375,0.25,0.5,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.639,0.0367,0.1,20.0
True,0.625,0.5,0.75,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.453,0.0229,0.1,20.0
True,0.875,0.75,1.0,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.387,0.0192,0.1,20.0
True,1.125,1.0,1.25,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.239,0.0131,0.1,20.0
True,1.375,1.25,1.5,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.172,0.0105,0.1,20.0
True,1.625,1.5,1.75,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.12,0.00867,0.1,20.0
True,1.875,1.75,2.0,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0743,0.00701,0.1,20.0
True,2.125,2.0,2.25,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0434,0.00555,0.1,20.0
True,2.375,2.25,2.5,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0199,0.00343,0.1,20.0
True,2.625,2.5,2.75,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0102,0.00249,0.1,20.0
True,2.875,2.75,3.0,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.007,0.00249,0.1,20.0
True,3.125,3.0,3.25,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00323,0.00248,0.1,20.0
True,3.375,3.25,3.5,True,8.5,8.0,9.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00666,0.00597,0.1,20.0
