file,chi2dN,N,ratio_1,data_1,pred_1,ratio_2,data_2,pred_2,ratio_3,data_3,pred_3
CMS_13\CMS13-170Q350.csv,1.1067583151841804,10,1.0844664431588595,0.0344,0.037305645644664764,1.0956107387164185,0.0781,0.08556719869375229,1.0844814010840034,0.0902,0.0978202223777771
CMS_13\CMS13-350Q1000.csv,1.5512331207075691,11,1.1293839725877055,0.00238,0.0026879338547587395,1.138812013431988,0.00565,0.006434287875890732,1.1067588990807362,0.00699,0.0077362447045743465
ATLAS_8\ATLAS8-00y04.csv,2.953787143007356,6,0.9841216939118583,3.257,3.205284357070923,0.9888008227999464,6.708,6.632875919342041,1.003638953014893,6.714,6.738431930541992
ATLAS_8\ATLAS8-04y08.csv,0.8802323289899108,6,0.991262460799275,3.219,3.190873861312866,0.9888436995701135,6.676,6.601520538330078,0.9944286405889786,6.737,6.699465751647949
LHCb_8\LHCb8.csv,0.4623284033512579,7,0.9567297182945584,3.592273,3.4368343353271484,0.958577601286944,6.420833,6.154866695404053,0.9751631604793961,6.340833,6.183346748352051
