qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,1.0,0.0,2.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.6548,0.005238,0.001964,0.035359,0.028
True,3.0,2.0,4.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.231,0.007386,0.003693,0.020927,0.028
True,5.0,4.0,6.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.116,0.006696,0.003348,0.01674,0.028
True,7.0,6.0,8.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.8866,0.00532,0.00266,0.014186,0.028
True,9.0,8.0,10.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.6563,0.00525,0.001969,0.011157,0.028
True,11.5,10.0,13.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.4806,0.002884,0.001442,0.00769,0.028
True,14.5,13.0,16.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.3241,0.002269,0.000972,0.00551,0.028
True,18.0,16.0,20.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2202,0.001541,0.000661,0.003303,0.028
True,22.5,20.0,25.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1408,0.000986,0.000422,0.002534,0.028
True,27.5,25.0,30.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.09033,0.000813,0.000452,0.001716,0.028
True,33.5,30.0,37.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.05644,0.000564,0.000339,0.001693,0.028
True,41.0,37.0,45.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.03786,0.000454,0.000265,0.001098,0.028
True,50.0,45.0,55.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02569,0.000334,0.000154,0.000822,0.028
True,60.0,55.0,65.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0172,0.000292,0.00012,0.000533,0.028
True,70.0,65.0,75.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01162,0.000256,0.000105,0.000325,0.028
True,80.0,75.0,85.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.008224,0.000214,9e-05,0.00028,0.028
True,95.0,85.0,105.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.004904,0.000108,3.9e-05,0.000157,0.028
True,127.5,105.0,150.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.001792,4.1e-05,1.6e-05,5.4e-05,0.028
True,175.0,150.0,200.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000506,1.9e-05,6e-06,1.5e-05,0.028
True,550.0,200.0,900.0,True,56.0,46.0,66.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.9e-05,1e-06,0.0,1e-06,0.028
