qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.5629,0.004503,0.002252,0.009006,0.028
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.141,0.005705,0.003423,0.012551,0.028
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.12,0.00672,0.00336,0.00784,0.028
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.9583,0.00575,0.002875,0.007666,0.028
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.8113,0.004868,0.002434,0.005679,0.028
True,11.5,10.0,13.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.6506,0.003904,0.001952,0.003904,0.028
True,14.5,13.0,16.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.5041,0.003529,0.002016,0.003025,0.028
True,18.0,16.0,20.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.3939,0.002363,0.001182,0.002363,0.028
True,22.5,20.0,25.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2913,0.002039,0.001165,0.002039,0.028
True,27.5,25.0,30.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2136,0.001709,0.001068,0.001922,0.028
True,33.5,30.0,37.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1549,0.001084,0.00062,0.001084,0.028
True,41.0,37.0,45.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1097,0.000878,0.000329,0.000768,0.028
True,50.0,45.0,55.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.07384,0.000591,0.000295,0.000591,0.028
True,60.0,55.0,65.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0497,0.000497,0.000199,0.000447,0.028
True,70.0,65.0,75.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.03228,0.00042,0.000194,0.000387,0.028
True,80.0,75.0,85.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02145,0.000343,0.00015,0.000279,0.028
True,95.0,85.0,105.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01165,0.000163,5.8e-05,0.00014,0.028
True,127.5,105.0,150.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00421,5.9e-05,2.1e-05,4.6e-05,0.028
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.001208,3.1e-05,1.2e-05,2.1e-05,0.028
True,550.0,200.0,900.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.7e-05,1e-06,0.0,1e-06,0.028
