qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.219,0.009657,0.006438,0.028971,0.028
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,6.676,0.013352,0.006676,0.040056,0.028
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,6.737,0.013474,0.006737,0.040422,0.028
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,5.872,0.017616,0.005872,0.035232,0.028
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,4.863,0.014589,0.004863,0.029178,0.028
True,11.5,10.0,13.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.893,0.007786,0.003893,0.023358,0.028
True,14.5,13.0,16.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.995,0.008985,0.002995,0.01797,0.028
True,18.0,16.0,20.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.266,0.006798,0.002266,0.013596,0.028
True,22.5,20.0,25.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.626,0.004878,0.001626,0.009756,0.028
True,27.5,25.0,30.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.163,0.003489,0.001163,0.006978,0.028
True,33.5,30.0,37.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.8094,0.002428,0.000809,0.004856,0.028
True,41.0,37.0,45.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.5488,0.001646,0.001098,0.003842,0.028
True,50.0,45.0,55.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.3566,0.001426,0.000713,0.002496,0.028
True,60.0,55.0,65.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2303,0.001152,0.000461,0.001842,0.028
True,70.0,65.0,75.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1531,0.000919,0.000459,0.001225,0.028
True,80.0,75.0,85.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1032,0.000722,0.00031,0.000826,0.028
True,95.0,85.0,105.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.05802,0.000348,0.000174,0.000464,0.028
True,127.5,105.0,150.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0224,0.000134,4.5e-05,0.000179,0.028
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00635,7e-05,2.5e-05,5.7e-05,0.028
True,550.0,200.0,900.0,True,91.0,66.0,116.0,True,0.6,0.4,0.8,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000256,4e-06,1e-06,3e-06,0.028
