candidate,fit_name,chi2dN_total,highE_mean_absdev_first3,highE_mean_shortfall_first3,delta_chi2dN_vs_current,delta_absdev_vs_current,delta_shortfall_vs_current,fit_evals,fit_elapsed_s
current_best,BroadBump42LogGaussAlpha1NoLambda2,0.9888852059884288,0.052317695024809346,0.009853276646842428,,,,,
area_gauss,BroadBump42AreaGauss,0.988217276299028,0.053031362379311456,0.010701333060013966,-0.0006679296894007702,0.0007136673545021094,0.0008480564131715385,2434.0,205.59165310000026
area_lorentz,BroadBump42AreaLorentz,0.9894976421056741,0.052554349553189515,0.010163497825975943,0.0006124361172453741,0.00023665452838016882,0.0003102211791335147,2369.0,197.81484619999992
fixed_gauss_basis,BroadBump42FixedGaussBasis,0.9926019805815383,0.05144460360768787,0.0091078177643971,0.003716774593109484,-0.0008730914171214757,-0.0007454588824453278,2310.0,196.7535608000003
