model,label,param,value,reference,is_free,sigma_norm,sigma_phys,z_vs_reference,signal_to_sigma,frac_uncertainty
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,lambda1,0.3860723614,0.0,True,263.82097735505306,2105.291399293324,0.00018338191165821112,0.00018338191165821112,5453.100531876934
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,lambda2,0.772197021,0.0,True,664.1022229372098,5299.5357390389345,0.00014571031483222663,0.00014571031483222663,6862.932120841391
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,lambda3,-2.600532617,0.0,True,39.00277697441957,780.0555394883914,-0.003333778795681125,0.003333778795681125,299.95991374577386
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,lambda4,-0.08898275641,0.0,True,543.790628633008,543.790628633008,-0.00016363422193149349,0.00016363422193149349,6111.191095580583
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,alpha,1.737862418,1.0,True,325.4147610879071,650.8295221758142,0.0011337261031632718,0.0011337261031632718,374.50002683458354
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,logx0,-6.265050331,,True,758.3233213064032,6071.41524576563,,,969.092812506829
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,sigx,1.088547987,,True,291.0007194868783,552.9013670250688,,,507.9255794214874
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,amp,-1.515880588,0.0,True,361.4071122352154,1445.6284489408615,-0.0010485962621381785,0.0010485962621381785,953.6558884550223
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,BNP,1.366057547,,True,532.3472711101132,2182.623811551464,,,1597.7539279693785
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,c0,0.07932999534,0.0,True,342.76486872467166,85.69121718116791,0.0009257657663127943,0.0009257657663127943,1080.1868424913475
poly_bstar_cslog_loggauss_42broadsig,PolyBstarCSLogLogGauss42BroadSig,c1,0.02509779785,0.0,True,295.7860418883519,73.94651047208798,0.0003394047628450767,0.0003394047628450767,2946.3346112690115
