qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.1,0.0,0.2,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.286,0.039,0.25
True,0.3,0.2,0.4,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.253,0.022,0.25
True,0.5,0.4,0.6,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.237,0.019,0.25
True,0.7,0.6,0.8,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.197,0.016,0.25
True,0.9,0.8,1.0,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.145,0.014,0.25
True,1.1,1.0,1.2,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.11,0.012,0.25
True,1.3,1.2,1.4,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0781,0.0098,0.25
True,1.5,1.4,1.6,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.038,0.0072,0.25
True,1.7,1.6,1.8,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0464,0.0082,0.25
True,1.9,1.8,2.0,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0192,0.0049,0.25
True,2.1,2.0,2.2,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.025,0.006,0.25
True,2.3,2.2,2.4,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0118,0.0041,0.25
True,2.5,2.4,2.6,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0052,0.0027,0.25
True,2.9,2.8,3.0,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0011,0.0011,0.25
True,3.1,3.0,3.2,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0012,0.0012,0.25
True,4.1,4.0,4.2,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0017,0.0017,0.25
True,4.5,4.4,4.6,True,7.5,7.0,8.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0017,0.0017,0.25
