qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.1,0.0,0.2,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.04,0.03,0.25
True,0.3,0.2,0.4,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.966,0.018,0.25
True,0.5,0.4,0.6,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.894,0.016,0.25
True,0.7,0.6,0.8,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.707,0.014,0.25
True,0.9,0.8,1.0,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.594,0.014,0.25
True,1.1,1.0,1.2,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.44,0.012,0.25
True,1.3,1.2,1.4,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.33,0.011,0.25
True,1.5,1.4,1.6,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.217,0.009,0.25
True,1.7,1.6,1.8,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.153,0.007,0.25
True,1.9,1.8,2.0,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.088,0.006,0.25
True,2.1,2.0,2.2,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.061,0.005,0.25
True,2.3,2.2,2.4,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.05,0.004,0.25
True,2.5,2.4,2.6,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.025,0.003,0.25
True,2.7,2.6,2.8,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.02,0.003,0.25
True,2.9,2.8,3.0,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.014,0.003,0.25
True,3.1,3.0,3.2,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0059,0.0021,0.25
True,3.3,3.2,3.4,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0064,0.0019,0.25
True,3.5,3.4,3.6,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0038,0.0012,0.25
True,3.7,3.6,3.8,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0031,0.0015,0.25
True,3.9,3.8,4.0,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0005,0.0009,0.25
True,4.1,4.0,4.2,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0005,0.0005,0.25
True,4.3,4.2,4.4,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0018,0.001,0.25
True,4.5,4.4,4.6,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,-0.0015,0.0015,0.25
True,4.9,4.8,5.0,True,6.5,6.0,7.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0012,0.0012,0.25
