qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.1,0.0,0.2,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0945,0.0188,0.25
True,0.3,0.2,0.4,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0901,0.0111,0.25
True,0.5,0.4,0.6,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0702,0.0084,0.25
True,0.7,0.6,0.8,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0522,0.0069,0.25
True,0.9,0.8,1.0,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0411,0.0061,0.25
True,1.1,1.0,1.2,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0297,0.0054,0.25
True,1.3,1.2,1.4,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0164,0.0038,0.25
True,1.5,1.4,1.6,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0095,0.0029,0.25
True,1.7,1.6,1.8,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0069,0.0025,0.25
True,1.9,1.8,2.0,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0037,0.0017,0.25
True,2.1,2.0,2.2,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0032,0.0019,0.25
True,2.3,2.2,2.4,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0016,0.0012,0.25
True,3.1,3.0,3.2,True,7.5,7.0,8.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0011,0.0012,0.25
