% # columns="iter, evals, sigma, 0, fitness, xbest" seed=190924, Thu Nov 13 01:22:30 2025, <python>{}</python>
1 17 0.295498914188834 0 1.189886982629165 0.00010617464676259172 0.1355674070453599 0.0797907513408575 0.3297478593676923 0.2696908770186048 0.626901918908666 0.4534346350388556 0.7700636180568428 0.354834680839178 0.37479841804113456 0.6296641880593369 0.7148354015189602
2 34 0.3006878510087174 0 1.0499886260976812 0.1516905599740626 0.00014709244958905797 0.00819288420098218 0.19172910621427455 0.0266160965952866 0.4056389639971028 0.24241798448325086 0.5094926674588665 0.15109568483927294 0.6207718861700121 0.6260240345046628 0.8852923314861272
3 51 0.304654742411308 0 0.9063318177492169 0.17643004526499506 0.042199937666916494 0.49000748725963084 0.0231768340201664 0.13242577342509296 0.002496131403439548 0.21477768226846589 0.32399218851000927 0.5015406020940536 0.36303762773815046 0.467576334340367 0.5981250945201698
4 68 0.32072231146572344 0 0.943307703547274 0.03841244934705533 0.06756275056754701 0.05068335850227129 0.028343839600950292 0.19775060168731629 0.16712206174601335 0.47058355676376595 0.6001466921916783 0.03002154227394278 0.46648652561110704 0.5451477520183955 0.009051556387307065
5 85 0.3254738523372105 0 0.8690307534959006 0.008401402786846441 0.09138028324613837 0.9264635671402085 0.46734194402775575 0.0664148472314845 0.5032804258066198 0.352053051233465 0.4775787645128502 0.4392523573564374 0.5593151580620586 0.3795557651503814 0.32369379729887005
6 102 0.33500957000377 0 0.9398181824620258 0.20089118670334252 0.05744088389306215 0.5878772790481918 0.6610655350341538 0.2579087488558499 0.1909518105559689 0.2102881145388173 0.47803266729292726 0.28431076601619176 0.5395550493094868 0.42501603988088144 0.27406416001808115
7 119 0.31716689663454983 0 0.9300063860690788 0.14305958155436005 0.0017615114948635903 0.011209357339841982 0.3175904939620592 0.13460147007417894 0.24252270576377533 0.5041399133716198 0.4599672830736489 0.0008405198611643501 0.3578063506212049 0.4274597428701493 0.4671933591439238
8 136 0.2926678898837502 0 1.0070106514277641 0.16326599936008587 0.002285455592323512 0.32232754520558704 0.17261198320962512 0.0006793806525277105 0.10995396704841343 0.4535562009462917 0.2447960784184739 0.0530950357446916 0.553212552794647 0.9945691457337279 0.42414491442748603
9 153 0.2742600879994115 0 0.6715106380140824 0.13646859986716228 0.16776403720221467 0.6752625966871105 0.14010612945567807 0.004075969482170064 0.09179858683138259 0.12178578514317062 0.3108955488515843 0.5248368057124281 0.4125263743045681 0.608438301198371 0.6988826296219999
10 170 0.24929211903218426 0 0.9359773913536065 0.17459605258168379 0.0011692818184489088 0.9192281714798912 0.040155818835275234 0.03556403218091337 0.44492819533454697 0.5012457794546892 0.4697822394623825 0.26387456525053415 0.5657401936133443 0.5156421513780708 0.27795127581377965
11 187 0.24840442463164847 0 0.5490192088073426 0.06656485834109749 0.46680490296257565 0.8934363782653153 0.031060684690829742 0.0811423054605693 0.06050582519443741 0.27291899966454924 0.7799518314473866 0.594129197125753 0.4025719248984857 0.753849938158867 0.6638264146078171
