qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,23.0,22.0,24.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1.82,0.18,0.039
True,25.0,24.0,26.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1.85,0.18,0.039
True,27.0,26.0,28.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1.58,0.17,0.039
True,29.0,28.0,30.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1.41,0.16,0.039
True,32.0,30.0,34.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1.02,0.1,0.039
True,36.0,34.0,38.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.678,0.079,0.039
True,40.0,38.0,42.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.644,0.076,0.039
True,44.0,42.0,46.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.434,0.062,0.039
True,48.0,46.0,50.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.394,0.059,0.039
True,55.0,50.0,60.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.21,0.027,0.039
True,65.0,60.0,70.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.107,0.019,0.039
True,75.0,70.0,80.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.091,0.0175,0.039
True,85.0,80.0,90.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.045,0.0122,0.039
True,95.0,90.0,100.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0351,0.0107,0.039
True,112.5,100.0,125.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0181,0.0048,0.039
True,137.5,125.0,150.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.00711,0.00297,0.039
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.000974,0.000756,0.039
